Richard	Lewis
Bochen	Li
Wei	Li
Dawen	Liang
Thomas	Lidy
Elad	Liebman
Cynthia	Liem
Daryl	Lim
Yin-Tzu	Lin
Yuan-Pin	Lin
Yi-Wen	Liu
Jen-Yu	Liu
Marco	Liuni
Antoine	Liutkus
Joao	Lobato Oliveira
Jörn	Loviscach
Lie	Lu
Hanna	Lukashevich
Athanasios	Lykartsis
Patricio	López-Serrano
Anderson	Machado
Esteban	Maestre
Akira	Maezawa
José Pedro	Magalhães
Adolfo	Maia Jr.
Stephane	Mallat
Michael	Mandel
Jônatas	Manzolli
Elizabeth	Margulis
Matija	Marolt
Gonçalo	Marques
Mónica	Marrero
Alan	Marsden
Luis Gustavo	Martins
David	Martins de Matos
Agustin	Martorell
Matthias	Mauch
Matthias	Mauch
Panayotis	Mavromatis
Rudolf	Mayer
Brian	McFee
Brian	McFee
Cory	McKay
Matt	McVicar
Annamaria	Mesaros
Gabriel	Meseguer
Cedric	Mesnage
Andrew	Milne
Stylianos	Mimilakis
Marius	Miron
Dirk	Moelants
Julie	Moeyersoms
Nicola	Montecchio
Josh	Moore
Artemis	Moroni
Brandon	Morton
Marcela	Morvidone
Manuel	Moussallam
Meinard	Mueller
Hema	Murthy
Daniel	Müllensiefen
Hidehisa	Nagano
Eita	Nakamura
Tomoyasu	Nakano
Masahiro	Nakano
Teresa	Nakra
Juhan	Nam
Maria	Navarro
Luiz	Naveda
Kerstin	Neubarth
Abdoulaye	Niang
Eric	Nichols
Oriol	Nieto
Mitsunori	Ogihara
Yasunori	Ohishi
Anders	Oland
Maurizio	Omologo
Nobutaka	Ono
Johan	Oomen
Sergio	Oramas
Nicola	Orio
Vito	Ostuni
Alexei	Ozerov
Ken	O’Hanlon
Francois	Pachet
Kevin	Page
Rui Pedro	Paiva
Daniel	Palhazi Cuervo
Maria	Panteli
Hélène	Papadopoulos
Bryan	Pardo
Gabriel	Parent
Tae Hong	Park
Jouni	Paulus
Johan	Pauwels
Steffen	Pauws
Marcus	Pearce
Geoffroy	Peeters
Graham	Percival
Alfonso	Perez
Lucien	Perticoz
Antonio	Pertusa
Matevž	Pesek
Pedro	Pestana
Aggelos	Pikrakis
Marcelo	Pimenta
Jordi	Pons
Phillip	Popp
Alastair	Porter
Thomas	Praetzlich
Martin	Preinfalk
Matthew	Prockup
Polina	Proutskova
Laurent	Pugin
Marcelo	Queiroz
Ian	Quinn
Elio	Quinton
Stanislaw	Raczynski
Colin	Raffel
Zafar	Rafii
Mathieu	Ramona
Miguel	Ramírez
Preeti	Rao
Christopher	Raphael
Valery	Rashkov
Andreas	Rauber
Ana	Rebelo
Joshua	Reiss
Gang	Ren
Iris	Ren
Christophe	Rhodes
Gael	Richard
Carolin	Rindfleisch
Daniel	Ringwalt
David	Rizo
Andrew	Robertson
Matthias	Robine
Martin	Rocamora
Bruno	Rocha
Francisco	Rodriguez Algarra
Marcelo	Rodríguez López
Jim	Rogers
Martin	Rohrmeier
Perry	Roland
Gerard	Roma
Deane	Root
David	Rosen
Robert	Rowe
Frank	Russo
Alex	Ruthmann
Pasi	Saari
Makiko	Sadakata
Shigeki	Sagayama
Alan	Said
Tetsuya	Sakai
Justin	Salamon
Craig Stuart	Sapp
Gabriel	Sargent
Andy	Sarroff
Markus	Schedl
Flávio	Schiavoni
Alexander	Schindler
Alexander	Schindler
Jan	Schlueter
Erik	Schmidt
Dominik	Schnitzer
Bjoern	Schuller
Jeffrey	Scott
Prem	Seetharaman
Xavier	Serra
Joan	Serrà
Klaus	Seyerlehner
Andie	Sigler
Siddharth Sanjay	Sigtia
Holly	Silk
Ian	Simon
George	Sioros
