Title;Authors;File
Systematic Exploration of Computational Music Structure Research;Oriol Nieto and Juan Pablo Bello;articles/043_Paper.pdf
Using Priors to Improve Estimates of Music Structure;Jordan Smith and Masataka Goto;articles/135_Paper.pdf
Music Structural Segmentation Across Genres with Gammatone Features;Mi Tian and Mark Sandler;articles/032_Paper.pdf
