Title;Authors;File
Automatic Tagging Using Deep Convolutional Neural Networks;Keunwoo Choi, György Fazekas and Mark Sandler;articles/009_Paper.pdf
A Hybrid Gaussian-HMM-Deep Learning Approach for Automatic Chord Estimation with Very Large Vocabulary;Junqi Deng and Yu-Kwong Kwok;articles/058_Paper.pdf
Melody Extraction on Vocal Segments Using Multi-Column Deep Neural Networks;Sangeun Kum, Changheun Oh and Juhan Nam;articles/119_Paper.pdf
