Title;Authors;File
Analyzing Measure Annotations for Western Classical Music Recordings;Christof Weiß, Vlora Arifi-Müller, Thomas Prätzlich, Rainer Kleinertz and Meinard Mueller;articles/079_Paper.pdf
Instrumental Idiom in the 16th Century: Embellishment Patterns in Arrangements of Vocal Music;David Lewis, Tim Crawford and Daniel Müllensiefen;articles/165_Paper.pdf
The Sousta Corpus: Beat-Informed Automatic Transcription of Traditional Dance Tunes;Andre Holzapfel and Emmanouil Benetos;articles/156_Paper.pdf
Learning a Feature Space for Similarity in World Music;Maria Panteli, Emmanouil Benetos and Simon Dixon;articles/166_Paper.pdf
